,result,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,herald,heraldtime,ft,fttime,dmgtochampsperminute,wpm,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,earnedgpm,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,side_Blue,side_Red
215,1.0,1.0,0.0,0.0,3.2911333330000003,0.484149856,0.242074928,0.726224784,-9999.0,-9999.0,0.0,13.87776667,0.0,8.5677,2038.512968,4.253602305,2.005763689,0.7262247837779567,0.9337175791430873,0.567567568,0.188405797,1327.746398,4.495677232911161,3.0432276653552472,0.34582132560855083,33.99423631,15895.0,16955.0,-1060.0,24436.0,25967.0,-1531.0,16913.0,18159.0,-1246.0,289.0,303.0,-14.0,492.0,505.0,-13.0,0,1
226,1.0,1.0,1.0,0.0,6.17055,0.365575019,0.274181264,0.639756283,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2577.669459,4.821020564,2.010662605,0.8910891088430245,0.9824828635961552,0.70212766,0.244444444,1322.942879,5.140898704863603,3.358720487177554,0.7311500380250457,35.00380807,16617.0,15780.0,837.0,24460.0,24632.0,-172.0,19774.0,18599.0,1175.0,363.0,360.0,3.0,567.0,557.0,10.0,1,0
227,0.0,0.0,0.0,1.0,6.17055,0.274181264,0.365575019,0.639756283,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2857.60853,4.980959634,1.805026657,0.7311500380250457,0.8225437927781765,0.632653061,0.174311927,1149.591775,5.163747143551885,3.632901751436946,0.38842345770080555,35.8492003,15780.0,16617.0,-837.0,24632.0,24460.0,172.0,18599.0,19774.0,-1175.0,360.0,363.0,-3.0,557.0,567.0,-10.0,0,1
238,0.0,0.0,0.0,1.0,6.62045,0.0,0.5933682370000001,0.5933682370000001,0.0,12.66761667,-9999.0,-9999.0,-9999.0,-9999.0,1410.366492,3.036649215,1.67539267,0.7678883071553229,0.8726003490401396,0.481481481,0.119402985,938.7155322999997,4.048865619546248,2.68760907504363,0.8726003490401396,34.93891798,15729.0,15505.0,224.0,23897.0,23498.0,399.0,19259.0,18826.0,433.0,343.0,334.0,9.0,556.0,545.0,11.0,1,0
239,1.0,1.0,0.0,0.0,6.62045,0.5933682370000001,0.0,0.5933682370000001,1.0,12.66761667,-9999.0,-9999.0,-9999.0,-9999.0,2180.977312,4.816753927,0.837696335,0.6631762652705061,0.9424083769633508,0.64,0.129032258,1422.834206,4.991273996509599,2.8272251308900525,1.1518324607329844,34.06631763,15505.0,15729.0,-224.0,23498.0,23897.0,-399.0,18826.0,19259.0,-433.0,334.0,343.0,-9.0,545.0,556.0,-11.0,0,1
250,0.0,1.0,1.0,0.0,6.291283332999999,0.270602706,0.319803198,0.590405904,1.0,10.1965,-9999.0,-9999.0,1.0,13.76206667,1603.886839,3.493234932,2.386223862,1.1070110701107012,1.2054120541205413,0.705882353,0.293478261,1161.0135300000004,5.092250922509225,3.2718327183271834,0.44280442804428044,38.47478475,15662.0,14589.0,1073.0,26212.0,21993.0,4219.0,18359.0,17851.0,508.0,314.0,322.0,-8.0,514.0,508.0,6.0,1,0
251,1.0,0.0,0.0,1.0,6.291283332999999,0.319803198,0.270602706,0.590405904,0.0,10.1965,-9999.0,-9999.0,0.0,13.76206667,2262.386224,5.067650677,1.697416974,0.8856088560885609,0.9348093480934809,0.6949152540000001,0.333333333,1317.126691,5.043050430504305,3.4686346863468636,0.46740467404674046,36.06396064,14589.0,15662.0,-1073.0,21993.0,26212.0,-4219.0,17851.0,18359.0,-508.0,322.0,314.0,8.0,508.0,514.0,-6.0,0,1
262,1.0,1.0,1.0,0.0,8.194266667,0.5720338979999999,0.190677966,0.762711864,1.0,9.68245,-9999.0,-9999.0,1.0,13.86976667,2200.042373,3.813559322,1.588983051,0.858050847366732,0.9216101693938973,0.6315789470000001,0.183333333,1389.260593,6.514830507784446,3.781779660616337,0.9216101693938973,37.46822034,15692.0,15296.0,396.0,25453.0,23279.0,2174.0,19139.0,18014.0,1125.0,337.0,316.0,21.0,501.0,493.0,8.0,1,0
263,0.0,0.0,0.0,1.0,8.194266667,0.190677966,0.5720338979999999,0.762711864,0.0,9.68245,-9999.0,-9999.0,0.0,13.86976667,1535.625,3.845338983,1.684322034,0.8898305083803146,0.9533898304074799,0.5862068970000001,0.225806452,954.2923729,4.322033897847242,3.686440677575589,0.0,33.14618644,15296.0,15692.0,-396.0,23279.0,25453.0,-2174.0,18014.0,19139.0,-1125.0,316.0,337.0,-21.0,493.0,501.0,-8.0,0,1
274,1.0,0.0,0.0,1.0,6.439716667000001,0.422535211,0.164319249,0.58685446,0.0,9.675133333,-9999.0,-9999.0,-9999.0,-9999.0,1922.558685,5.305164319,2.605633803,1.0328638497652582,1.07981220657277,0.65625,0.208,1389.3145539999996,6.384976525821596,3.873239436619718,1.0328638497652582,40.11737089,15861.0,15455.0,406.0,24799.0,23493.0,1306.0,19178.0,18940.0,238.0,354.0,321.0,33.0,586.0,505.0,81.0,1,0
275,0.0,1.0,1.0,0.0,6.439716667000001,0.164319249,0.422535211,0.58685446,1.0,9.675133333,-9999.0,-9999.0,-9999.0,-9999.0,1995.962441,5.985915492999999,2.323943662,1.3380281690140845,1.408450704225352,0.543859649,0.310344828,1088.704225,5.305164319248826,3.755868544600939,0.39906103286384975,33.45070423,15455.0,15861.0,-406.0,23493.0,24799.0,-1306.0,18940.0,19178.0,-238.0,321.0,354.0,-33.0,505.0,586.0,-81.0,0,1
286,0.0,0.0,0.0,1.0,4.07375,0.090680101,0.513853904,0.604534005,0.0,11.8961,1.0,11.82861667,0.0,11.45226667,1169.6826199999996,5.440806045,2.327455919,0.9370277079029751,1.027707808667779,0.441860465,0.263157895,1009.571788,5.078085642829026,3.6272040305921616,0.2720403022944121,34.57934509,14983.0,17191.0,-2208.0,23652.0,26218.0,-2566.0,17900.0,19009.0,-1109.0,321.0,352.0,-31.0,500.0,568.0,-68.0,1,0
287,1.0,1.0,1.0,0.0,4.07375,0.513853904,0.090680101,0.604534005,1.0,11.8961,0.0,11.82861667,1.0,11.45226667,1500.997481,5.98488665,2.690176322,1.118387909432583,1.1486146096875178,0.675,0.320987654,1329.098237,6.5894206555757595,4.050377834161247,0.9672544081579098,39.65743073,17191.0,14983.0,2208.0,26218.0,23652.0,2566.0,19009.0,17900.0,1109.0,352.0,321.0,31.0,568.0,500.0,68.0,0,1
298,0.0,0.0,0.0,1.0,6.117733332999999,0.118110236,0.354330709,0.472440945,-9999.0,-9999.0,0.0,13.11641667,0.0,11.0521,1669.635827,4.311023622,1.062992126,0.7381889763052963,0.8858267715663556,0.5277777779999999,0.226666667,944.1614173,4.93110236171938,3.454724409108787,0.23622047241769484,33.63188976,14767.0,15171.0,-404.0,22412.0,26084.0,-3672.0,18837.0,18794.0,43.0,310.0,336.0,-26.0,461.0,546.0,-85.0,1,0
