,side,gamelength,result,k,d,a,teamkills,teamdeaths,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
7055,Red,29.41666667,0.0,2.0,11.0,4.0,2.0,11.0,0.0,0.0,1.0,9.501266667000001,0.067988669,0.373937677,0.441926346,1.0,17.66698333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.69026667,0.0,17.6233,0.0,0.0,1.0,9.0,0.0,23.64076667,0.0,1.0,37234.0,1265.745042,126.0,4.283286119,1.0,44.0,1.495750708,28.0,31.0,0.363636364,0.287671233,44008.0,837.1784703,42275.0,-0.18917790199999998,821.0,138.0,113.0,0.0,32.60056657,14510.0,15834.0,-1324.0,21944.0,23866.0,-1922.0,18326.0,19764.0,-1438.0,305.0,357.0,-52.0,498.0,557.0,-59.0
7066,Blue,27.0,0.0,10.0,20.0,23.0,10.0,20.0,0.0,0.0,1.0,3.4903,0.37037037,0.740740741,1.111111111,1.0,14.60458333,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.86631667,0.0,9.324833332999999,0.0,0.0,4.0,9.0,0.0,23.35701667,0.0,1.0,55662.0,2061.555556,118.0,4.37037037,1.0,22.0,0.814814815,30.0,34.0,0.297297297,0.164179104,43540.0,949.5555555999999,40075.0,-0.13604651199999998,617.0,149.0,96.0,4.0,28.37037037,15827.0,16679.0,-852.0,25118.0,25693.0,-575.0,18544.0,18413.0,131.0,327.0,316.0,11.0,461.0,464.0,-3.0
7067,Red,27.0,1.0,20.0,10.0,55.0,20.0,10.0,1.0,1.0,0.0,3.4903,0.740740741,0.37037037,1.111111111,0.0,14.60458333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.86631667,1.0,9.324833332999999,1.0,1.0,9.0,4.0,1.0,23.35701667,1.0,0.0,61917.0,2293.222222,104.0,3.851851852,1.0,39.0,1.4444444440000002,34.0,35.0,0.529411765,0.194029851,54080.0,1339.925926,45925.0,0.13604651199999998,701.0,141.0,107.0,8.0,31.18518519,16679.0,15827.0,852.0,25693.0,25118.0,575.0,18413.0,18544.0,-131.0,316.0,327.0,-11.0,464.0,461.0,3.0
7078,Blue,37.53333333,0.0,3.0,17.0,6.0,3.0,17.0,0.0,0.0,1.0,12.91611667,0.079928952,0.45293072799999995,0.53285968,1.0,20.12153333,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,1.0,15.6979,1.0,1.0,3.0,7.0,0.0,30.54683333,0.0,1.0,79686.0,2123.072824,157.0,4.18294849,1.0,44.0,1.1722912970000001,47.0,51.0,0.627906977,0.22077922100000003,60372.0,959.7761989,57333.0,-0.090538954,1158.0,221.0,155.0,21.0,36.74067496,15069.0,15075.0,-6.0,22083.0,22795.0,-712.0,19498.0,19847.0,-349.0,348.0,339.0,9.0,523.0,496.0,27.0
7079,Red,37.53333333,1.0,17.0,3.0,54.0,17.0,3.0,1.0,1.0,0.0,12.91611667,0.45293072799999995,0.079928952,0.53285968,0.0,20.12153333,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,15.6979,0.0,0.0,7.0,3.0,1.0,30.54683333,1.0,0.0,82688.0,2203.055062,120.0,3.197158082,1.0,68.0,1.811722913,38.0,44.0,0.622641509,0.33653846200000004,68937.0,1187.973357,62770.0,0.090538954,1111.0,184.0,147.0,1.0,34.5026643,15075.0,15069.0,6.0,22795.0,22083.0,712.0,19847.0,19498.0,349.0,339.0,348.0,-9.0,496.0,523.0,-27.0
7090,Blue,38.86666667,1.0,16.0,2.0,39.0,16.0,2.0,0.0,0.0,1.0,2.53945,0.41166380799999996,0.051457975999999996,0.463121784,1.0,13.7851,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,14.93256667,0.0,11.97136667,1.0,0.0,8.0,6.0,1.0,29.38285,2.0,0.0,54602.0,1404.854202,195.0,5.017152659,1.0,71.0,1.8267581480000001,53.0,55.0,0.545454545,0.227722772,75809.0,1303.0343050000001,65855.0,0.057084845999999995,1271.0,237.0,162.0,19.0,38.79931389,15286.0,15379.0,-93.0,24395.0,24000.0,395.0,18949.0,18671.0,278.0,354.0,336.0,18.0,551.0,521.0,30.0
7091,Red,38.86666667,0.0,2.0,16.0,3.0,2.0,16.0,1.0,1.0,0.0,2.53945,0.051457975999999996,0.41166380799999996,0.463121784,0.0,13.7851,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14.93256667,1.0,11.97136667,0.0,1.0,6.0,8.0,0.0,29.38285,0.0,2.0,47467.0,1221.277873,192.0,4.939965695,1.0,62.0,1.5951972559999998,50.0,55.0,0.406779661,0.229166667,65751.0,1044.252144,62200.0,-0.057084845999999995,1246.0,244.0,165.0,17.0,38.33619211,15379.0,15286.0,93.0,24000.0,24395.0,-395.0,18671.0,18949.0,-278.0,336.0,354.0,-18.0,521.0,551.0,-30.0
7102,Blue,38.8,1.0,14.0,7.0,34.0,14.0,7.0,1.0,0.0,0.0,3.74495,0.36082474200000003,0.18041237100000002,0.541237113,0.0,11.61536667,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.40356667,1.0,11.01615,1.0,1.0,10.0,3.0,1.0,23.36611667,2.0,0.0,72628.0,1871.85567,164.0,4.226804124,1.0,53.0,1.365979381,61.0,68.0,0.571428571,0.25925925899999996,72086.0,1210.371134,65633.0,0.11828685800000001,1036.0,269.0,165.0,39.0,33.63402062,15701.0,15046.0,655.0,25260.0,23337.0,1923.0,19160.0,18329.0,831.0,333.0,304.0,29.0,538.0,494.0,44.0
7103,Red,38.8,0.0,7.0,14.0,18.0,7.0,14.0,0.0,0.0,1.0,3.74495,0.18041237100000002,0.36082474200000003,0.541237113,1.0,11.61536667,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.40356667,0.0,11.01615,0.0,0.0,3.0,10.0,0.0,23.36611667,0.0,2.0,73258.0,1888.092784,137.0,3.530927835,1.0,58.0,1.4948453609999999,43.0,48.0,0.463768116,0.273684211,60917.0,922.5103093,58303.0,-0.11828685800000001,1046.0,167.0,130.0,0.0,31.262886600000005,15046.0,15701.0,-655.0,23337.0,25260.0,-1923.0,18329.0,19160.0,-831.0,304.0,333.0,-29.0,494.0,538.0,-44.0
7114,Blue,36.01666667,1.0,10.0,1.0,29.0,10.0,1.0,1.0,1.0,0.0,2.988816667,0.277649236,0.027764924,0.30541416,1.0,8.508366667,3.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,12.95863333,1.0,10.92513333,1.0,1.0,11.0,2.0,1.0,23.57578333,2.0,0.0,56888.0,1579.490976,166.0,4.608977325,1.0,64.0,1.776955113,37.0,43.0,0.46031746,0.32710280399999997,68222.0,1243.918556,63880.0,0.146992345,1008.0,214.0,110.0,42.0,33.9287367,16842.0,14996.0,1846.0,27219.0,23803.0,3416.0,19757.0,18706.0,1051.0,326.0,333.0,-7.0,540.0,554.0,-14.0
7115,Red,36.01666667,0.0,1.0,10.0,4.0,1.0,10.0,0.0,0.0,1.0,2.988816667,0.027764924,0.277649236,0.30541416,0.0,8.508366667,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95863333,0.0,10.92513333,0.0,0.0,2.0,11.0,0.0,23.57578333,0.0,2.0,35012.0,972.1055067,170.0,4.72003702,1.0,65.0,1.8047200369999998,55.0,62.0,0.545454545,0.3,56015.0,904.9921332999999,55133.0,-0.146992345,1105.0,172.0,129.0,25.0,35.4558075,14996.0,16842.0,-1846.0,23803.0,27219.0,-3416.0,18706.0,19757.0,-1051.0,333.0,326.0,7.0,554.0,540.0,14.0
7126,Blue,33.23333333,1.0,12.0,8.0,33.0,12.0,8.0,0.0,0.0,1.0,7.985866667000001,0.36108325,0.24072216600000002,0.601805416,0.0,20.26895,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.13611667,1.0,16.58145,0.0,1.0,9.0,3.0,0.0,25.31321667,0.0,1.0,76815.0,2311.384152,172.0,5.17552658,1.0,34.0,1.023069208,36.0,46.0,0.567567568,0.173333333,58559.0,1108.591775,52460.0,-0.008030909000000001,871.0,195.0,133.0,17.0,32.07622869,14726.0,15879.0,-1153.0,22991.0,23688.0,-697.0,17407.0,18582.0,-1175.0,300.0,299.0,1.0,524.0,500.0,24.0
7127,Red,33.23333333,0.0,8.0,12.0,13.0,8.0,12.0,1.0,1.0,0.0,7.985866667000001,0.24072216600000002,0.36108325,0.601805416,1.0,20.26895,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.13611667,0.0,16.58145,1.0,0.0,3.0,9.0,1.0,25.31321667,1.0,0.0,63067.0,1897.703109,111.0,3.34002006,1.0,56.0,1.685055165,32.0,36.0,0.4,0.255813953,57259.0,1069.4744230000001,52883.0,0.008030909000000001,912.0,168.0,121.0,10.0,32.49749248,15879.0,14726.0,1153.0,23688.0,22991.0,697.0,18582.0,17407.0,1175.0,299.0,300.0,-1.0,500.0,524.0,-24.0
7138,Blue,40.2,1.0,12.0,9.0,29.0,12.0,9.0,1.0,1.0,0.0,8.193466667000001,0.29850746300000003,0.223880597,0.52238806,0.0,6.76235,3.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.5214,0.0,10.83626667,0.0,1.0,11.0,2.0,1.0,20.43385,3.0,0.0,83500.0,2077.1144280000003,233.0,5.7960199,1.0,58.0,1.44278607,69.0,80.0,0.659090909,0.276190476,77364.0,1278.1990050000002,70468.0,0.174133037,1081.0,242.0,131.0,42.0,32.91044776,15747.0,14396.0,1351.0,25024.0,22467.0,2557.0,18459.0,17852.0,607.0,330.0,312.0,18.0,512.0,489.0,23.0
7139,Red,40.2,0.0,9.0,12.0,29.0,9.0,12.0,0.0,0.0,1.0,8.193466667000001,0.223880597,0.29850746300000003,0.52238806,1.0,6.76235,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,11.5214,1.0,10.83626667,1.0,0.0,2.0,11.0,0.0,20.43385,0.0,3.0,80712.0,2007.7611940000002,149.0,3.7064676619999997,1.0,83.0,2.064676617,32.0,36.0,0.551724138,0.19,64562.0,959.7412935000001,59180.0,-0.174133037,1142.0,171.0,128.0,2.0,32.66169154,14396.0,15747.0,-1351.0,22467.0,25024.0,-2557.0,17852.0,18459.0,-607.0,312.0,330.0,-18.0,489.0,512.0,-23.0
